FORWARD_TEXT_FORMAT_1.0
STDEP =   208.0410
ENDEP =  2542.0400
RLEV  =     0.1250
CURVENAME =  AC, CAL, GR, R4_0, RILD, RILM, RLL8, RT
END
#DEPTH            AC        CAL         GR       R4_0       RILD       RILM       RLL8         RT
 222.6660     370.853     23.163     38.365     -0.514     44.033   2000.000      0.419  -9999.000
 222.7910     381.268     23.170     36.939     -0.514     44.144   2000.000      0.418  -9999.000
 222.9160     411.973     23.179     38.472     -0.514     43.806   2000.000      0.417  -9999.000
 223.0410     455.159     23.166     44.830     -0.514     42.728   2000.000      0.416  -9999.000
 223.1660     472.321     23.109     54.364     -0.514     42.124   2000.000      0.416  -9999.000
 223.2910     456.266     23.036     60.524     -0.514     42.434   2000.000      0.417  -9999.000
 223.4160     428.994     22.994     59.286     -0.514     42.997   2000.000      0.418  -9999.000
 223.5410     402.398     22.923     57.903     -0.514     43.276   2000.000      0.419  -9999.000
 223.6660     360.678     22.838     56.989     -0.514     42.471   2000.000      0.418  -9999.000
 223.7910     311.504     22.757     55.186     -0.514     45.532   2000.000      0.418  -9999.000
 223.9160     288.520     22.703     51.584     -0.514     75.524   2000.000      0.417  -9999.000
 224.0410     307.371     22.674     48.930     -0.514    150.372   2000.000      0.418  -9999.000
 224.1660     337.200     22.655     48.896     -0.514    211.798   1716.350      0.418  -9999.000
 224.2910     341.830     22.648     50.593     -0.514    171.637   1058.593      0.418  -9999.000
 224.4160     327.086     22.660     52.145     -0.514     92.947    549.433      0.418  -9999.000
 224.5410     314.588     22.665     49.568     -0.514     50.868    731.848      0.417  -9999.000
 224.6660     313.044     22.662     46.125     -0.514     47.181   1551.710      0.417  -9999.000
 224.7910     310.628     22.687     42.751     -0.514     48.027   1913.344      0.417  -9999.000
 224.9160     301.690     22.704     41.450     -0.514     48.619   2000.000      0.416  -9999.000
 225.0410     291.656     22.702     41.600     -0.514     49.509   2000.000      0.416  -9999.000
 225.1660     293.280     22.695     43.945     -0.514     50.122   2000.000      0.416  -9999.000
 225.2910     304.868     22.691     48.630     -0.514     51.053   2000.000      0.417  -9999.000
 225.4160     313.172     22.689     56.869     -0.514     52.842   2000.000      0.417  -9999.000
 225.5410     307.178     22.692     63.241     -0.514     53.713   2000.000      0.417  -9999.000
 225.6660     292.704     22.707     63.096     -0.514     53.325   2000.000      0.416  -9999.000
 225.7910     283.858     22.719     60.688     -0.514     52.483   2000.000      0.415  -9999.000
 225.9160     276.650     22.717     60.543     -0.514     51.446   2000.000      0.415  -9999.000
 226.0410     260.117     22.700     60.611     -0.514     50.330   2000.000      0.415  -9999.000
 226.1660     239.583     22.697     59.707     -0.514     50.142   2000.000      0.415  -9999.000
 226.2910     233.931     22.687     56.656     -0.513     50.735   2000.000      0.415  -9999.000
